건축물의 피난시설 기준은 어떻게 되나요?
주택임대차 보호에 대한 규정을 알고 싶어요.,관련 법령 내용을 찾을 수 없습니다.
안전관리비 계상 항목이 어떤 것들이 있나요?,"[출처] 건설산업기본법  
[시행 2024. 5. 17.] [국토교통부령 제19591호, 2023. 8. 8., 일부개정]  
국토교통부 (건설산업과) 044-201-4586  
제29조(안전관리비의 계상) ① 안전관리비는 다음 각 호의 비용을 포함하여 계상하여야 한다. <개정 2024. 5. 17.>  
1. 안전관리자 및 안전관리 인력의 인건비  
2. 안전교육 및 훈련에 소요되는 비용  
3. 안전장비 및 보호구의 구입비용  
4. 안전관리 관련 자료 및 정보의 수집·분석·제공에 소요되는 비용  
5. 기타 안전관리에 필요한 비용  

[출처] 건설기술 진흥법  
[시행 2024. 7. 10.] [국토교통부령 제19967호, 2024. 1. 9., 일부개정]  
국토교통부 (건설기술과) 044-201-3555  
제15조(안전관리비의 사용) ① 안전관리비는 건설공사의 안전관리를 위하여 사용하여야 하며, 그 사용 내역은 다음 각 호와 같다. <개정 2024. 7. 10.>  
1. 안전관리 인력의 운영비  
2. 안전교육 및 훈련비  
3. 안전장비 및 보호구 구입비  
4. 안전관리 관련 연구 및 개발비  
5. 기타 안전관리에 필요한 경비  

[출처] 산업안전보건법  
[시행 2024. 5. 17.] [고용노동부령 제19591호, 2023. 8. 8., 일부개정]  
고용노동부 (산업안전과) 044-202-8809  
제24조(안전관리비의 계상) ① 사업주는 안전관리비를 계상할 때 다음 각 호의 비용을 포함하여야 한다. <개정 2024. 5. 17.>  
1. 안전관리자 및 안전관리 인력의 인건비  
2. 안전교육 및 훈련에 소요되는 비용  
3. 안전장비 및 보호구의 구입비용  
4. 안전관리 관련 자료 및 정보의 수집·분석·제공에 소요되는 비용  
5. 기타 안전관리에 필요한 비용  

위의 법령에 따라 안전관리비는 인건비, 교육비, 장비 구입비 등 다양한 항목으로 구성되어 있습니다."
건설업 등록 요건은 무엇인가요?,"[출처] 건설산업기본법  
[시행 2024. 5. 17.] [법률 제19591호, 2023. 8. 8., 일부개정]  
국토교통부 (건설산업과) 044-201-4586  

제9조(건설업 등록)  
① 건설업을 영위하고자 하는 자는 대통령령으로 정하는 바에 따라 등록하여야 한다.  
② 등록을 하려는 자는 다음 각 호의 요건을 모두 갖추어야 한다.  
1. 건설업에 필요한 자본금이 대통령령으로 정하는 금액 이상일 것  
2. 건설업에 필요한 기술인력을 대통령령으로 정하는 기준에 따라 보유할 것  
3. 건설업에 필요한 시설을 갖출 것  
4. 건설업의 영위를 위한 법인 또는 개인으로서의 자격이 있을 것  
5. 기타 대통령령으로 정하는 요건을 갖출 것  

제10조(등록의 절차)  
① 등록을 하려는 자는 등록신청서를 관할청에 제출하여야 한다.  
② 관할청은 등록신청서를 접수한 날부터 30일 이내에 등록 여부를 결정하여야 한다.  

위의 내용을 참고하여 건설업 등록 요건을 확인하시기 바랍니다."
건설기계 등록 절차를 알려주세요.,"[출처] 건설기계관리법  
[시행 2023. 4. 18.] [법률 제19365호, 2023. 4. 18., 일부개정]  
국토교통부 (건설기계과) 044-201-3544  

제5조(건설기계의 등록)  
법 제5조제1항에 따라 건설기계를 등록하고자 하는 자는 다음 각 호의 서류를 첨부하여 등록관청에 신청하여야 한다. <개정 2023. 4. 18.>  
1. 건설기계의 소유권을 증명하는 서류  
2. 건설기계의 형식 및 규격을 증명하는 서류  
3. 건설기계의 사용 목적 및 사용 장소를 증명하는 서류  
4. 기타 등록에 필요한 서류  

제6조(등록관청의 등록)  
등록관청은 제5조에 따른 신청이 있는 경우에는 다음 각 호의 사항을 확인한 후 등록하여야 한다. <개정 2023. 4. 18.>  
1. 신청인이 제출한 서류의 적정성  
2. 건설기계의 소유권 및 형식의 적합성  
3. 등록에 필요한 수수료의 납부 여부  

제7조(등록증의 교부)  
등록관청은 등록이 완료된 경우에는 등록증을 교부하여야 하며, 등록증에는 다음 각 호의 사항을 기재하여야 한다. <개정 2023. 4. 18.>  
1. 건설기계의 등록번호  
2. 건설기계의 소유자 및 주소  
3. 건설기계의 형식 및 규격  

위의 절차를 통해 건설기계를 등록할 수 있습니다. 추가적인 문의사항이 있으시면 국토교통부 건설기계과로 연락하시기 바랍니다."
건설폐기물 처리 기준은 어떻게 되나요?,"[출처] 폐기물관리법  
[시행 2024. 8. 17.] [법률 제19666호, 2023. 8. 16., 일부개정]  
환경부 (폐기물정책과) 044-201-7345, 7350  

제12조(건설폐기물의 처리)  
법 제22조제1항에 따른 건설폐기물의 처리에 관하여는 다음 각 호의 요건을 모두 충족하여야 한다. <개정 2024. 8. 17.>  
1. 건설폐기물은 재활용이 가능한 경우에는 재활용하여야 하며, 재활용이 불가능한 경우에는 적정하게 처리하여야 한다.  
2. 건설폐기물의 처리업체는 환경부장관의 허가를 받아야 하며, 처리시설은 관련 법령에 따라 설치하여야 한다.  
3. 건설폐기물의 운반 및 처리 과정에서 발생할 수 있는 환경오염을 방지하기 위한 조치를 취하여야 한다.  
4. 건설폐기물의 처리에 관한 기록을 작성하고 보관하여야 하며, 필요 시 관계기관에 제출하여야 한다.  

이와 같은 기준을 준수하여 건설폐기물을 적절히 처리해야 합니다."
건설 현장의 안전관리 의무는 무엇인가요?,"[출처] 산업안전보건법  
[시행 2024. 5. 17.] [법률 제19591호, 2023. 8. 8., 일부개정]  
고용노동부 (산업안전보건정책과) 044-202-8809, 8810, 8813, 8815  
제4조(사업주의 의무)  
법 제4조제1항에서 “사업주는 다음 각 호의 의무를 이행하여야 한다.”는 다음 각 호의 의무를 말한다. <개정 2024. 5. 17.>  
1. 근로자가 안전하고 건강하게 일할 수 있도록 필요한 조치를 강구할 것  
2. 근로자가 안전보건교육을 받을 수 있도록 할 것  
3. 근로자가 사용하는 기계, 기구 및 작업환경이 안전하고 건강에 유해하지 않도록 할 것  
4. 근로자가 안전하게 작업할 수 있도록 필요한 보호구를 지급할 것  

[출처] 건축법  
[시행 2024. 6. 27.] [법률 제20424호, 2024. 3. 26., 일부개정]  
국토교통부 (건축안전과) 044-201-3762, 3763  
제10조(건축물의 안전관리)  
법 제10조제1항에서 “건축물의 소유자 또는 관리자는 다음 각 호의 사항을 준수하여야 한다.”는 다음 각 호의 사항을 말한다. <개정 2024. 6. 27.>  
1. 건축물의 안전을 유지하기 위한 필요한 조치를 강구할 것  
2. 건축물의 유지관리 및 보수에 필요한 안전점검을 정기적으로 실시할 것  
3. 건축물의 사용에 있어 안전사고를 예방하기 위한 교육을 실시할 것  

[출처] 건설기술 진흥법  
[시행 2024. 7. 10.] [법률 제19967호, 2024. 1. 9., 일부개정]  
국토교통부 (건설정책과) 044-201-3555  
제5조(건설업자의 의무)  
법 제5조제1항에서 “건설업자는 다음 각 호의 의무를 이행하여야 한다.”는 다음 각 호의 의무를 말한다. <개정 2024. 7. 10.>  
1. 건설현장의 안전관리를 위한 조치를 강구할 것  
2. 건설근로자의 안전과 건강을 보호하기 위한 교육을 실시할 것  
3. 건설현장에서 발생할 수 있는 위험요소를 사전에 제거할 것  

위의 법령들은 건설 현장에서의 안전관리 의무를 규정하고 있으며, 사업주 및 건축물 소유자, 건설업자는 각자의 의무를 성실히 이행해야 합니다."
재해보상 보험에서 보상받을 수 있는 재해 유형은?,"[출처] 산업재해보상보험법  
[시행 2024. 2. 9.] [고용노동부령 제19612호, 2023. 8. 8., 일부개정]  
고용노동부 044-202-8838, 8846  

제3조(재해의 정의) 법 제2조제1항에서 ""재해""란 다음 각 호의 어느 하나에 해당하는 사고 또는 질병을 말한다. <개정 2024. 2. 9.>  
1. 근로자가 업무를 수행하는 중에 발생한 사고  
2. 근로자가 업무와 관련하여 발생한 질병  
3. 근로자가 업무를 수행하기 위해 이동하는 중에 발생한 사고  
4. 근로자가 업무와 관련하여 발생한 사고로 인한 후유증  

[출처] 근로기준법  
[시행 2025. 10. 23.] [고용노동부령 제20520호, 2024. 10. 22., 일부개정]  
고용노동부 044-202-7973  

제60조(산업재해의 보상) 법 제74조제1항에서 ""산업재해""란 근로자가 업무를 수행하는 중에 발생한 재해를 말하며, 이에는 다음 각 호의 재해가 포함된다. <개정 2024. 10. 22.>  
1. 근로자가 업무를 수행하는 중에 발생한 사고  
2. 근로자가 업무와 관련하여 발생한 질병  
3. 근로자가 업무를 수행하기 위해 이동하는 중에 발생한 사고  

위의 법령에 따라 재해보상 보험에서 보상받을 수 있는 재해 유형은 주로 근로자가 업무를 수행하는 중에 발생한 사고와 질병, 그리고 업무와 관련된 이동 중의 사고를 포함합니다."
중대재해 처벌에 따른 사업주의 책임은 무엇인가요?,"[출처] 산업안전보건법  
[시행 2024. 5. 17.] [법률 제19591호, 2023. 8. 8., 일부개정]  
고용노동부 (산업안전보건정책과) 044-202-8809, 8810, 8813, 8815  

제2조(정의) 이 법에서 사용하는 용어의 정의는 다음과 같다.  
1. ""중대재해""란 다음 각 목의 어느 하나에 해당하는 재해를 말한다.  
가. 사망사고  
나. 3개월 이상의 치료를 요하는 부상  
다. 1명 이상의 근로자가 3개월 이상의 치료를 요하는 부상을 입은 경우  

제3조(사업주의 의무)  
① 사업주는 근로자의 안전과 건강을 보호하기 위하여 필요한 조치를 강구하여야 한다.  
② 사업주는 중대재해가 발생하지 않도록 예방하기 위한 안전보건 관리체계를 구축하고 운영하여야 한다.  

제4조(중대재해 발생 시 사업주의 책임)  
사업주는 중대재해가 발생한 경우 다음 각 호의 책임을 진다.  
1. 재해 발생 원인 조사 및 재발 방지 대책 수립  
2. 피해 근로자에 대한 보상 및 치료 지원  
3. 법령에 따른 처벌 및 행정적 제재  

위 법령에 따라 사업주는 중대재해 발생 시 재해 예방을 위한 조치를 취하고, 재해 발생 원인 조사 및 재발 방지 대책을 마련해야 하며, 피해 근로자에 대한 적절한 보상과 치료 지원을 제공해야 합니다."
소방시설 설치 기준이 궁금합니다.,"[출처] 소방시설 설치 및 관리에 관한 법률  
[시행 2023. 7. 4.] [법률 제19160호, 2023. 1. 3., 일부개정]  
소관부처: 소방청 (전화번호: 044-205-7546, 7547)  

제3조(소방시설의 설치)  
법 제3조제1항에 따라 소방시설은 다음 각 호의 기준에 따라 설치하여야 한다. <개정 2023. 7. 4.>  
1. 소방시설의 종류 및 설치기준은 소방청장이 정하는 바에 따른다.  
2. 소방시설은 건축물의 용도 및 규모에 따라 적정하게 설치하여야 한다.  
3. 소방시설의 설치는 소방안전관리자의 관리 하에 이루어져야 한다.  

[출처] 건축법  
[시행 2024. 6. 27.] [법률 제20424호, 2024. 3. 26., 일부개정]  
소관부처: 국토교통부 (전화번호: 044-201-3762, 3763)  

제11조(소방시설의 설치)  
법 제11조제1항에 따라 건축물의 설계 및 시공 시 소방시설을 설치하여야 하며, 그 기준은 다음과 같다. <개정 2024. 6. 27.>  
1. 건축물의 용도에 따라 필요한 소방시설의 종류 및 수량을 정하여야 한다.  
2. 소방시설은 건축물의 구조 및 형태에 적합하게 설치하여야 하며, 소방관의 접근이 용이하도록 배치하여야 한다.  
3. 소방시설의 설치는 관련 법령 및 규정에 따라 이루어져야 한다.  

위의 법령에 따라 소방시설 설치 기준은 소방청장이 정하는 바에 따라 건축물의 용도 및 규모에 적정하게 설치되어야 하며, 소방안전관리자의 관리 하에 이루어져야 합니다."
건설 현장에서 지켜야 할 안전수칙은 무엇인가요?,"[출처] 산업안전보건법  
[시행 2024. 5. 17.] [법률 제19591호, 2023. 8. 8., 일부개정]  
고용노동부 (산업안전과) 044-202-8809, 8810, 8813, 8815  
제5조(사업주의 의무) ① 사업주는 근로자가 안전하고 건강하게 일할 수 있도록 다음 각 호의 조치를 하여야 한다. <개정 2023. 8. 8.>  
1. 안전 및 보건에 관한 규정을 정하고 이를 근로자에게 교육할 것  
2. 근로자가 사용하는 기계, 기구 및 작업환경을 안전하게 유지할 것  
3. 근로자가 안전하게 작업할 수 있도록 필요한 보호구를 지급할 것  
4. 근로자가 안전하게 작업할 수 있도록 필요한 안전조치를 취할 것  

[출처] 건설기계관리법  
[시행 2023. 4. 18.] [법률 제19365호, 2023. 4. 18., 일부개정]  
국토교통부 (건설기계과) 044-201-3544  
제37조(건설기계의 안전관리) ① 건설기계의 소유자는 건설기계의 안전관리를 위하여 다음 각 호의 조치를 하여야 한다. <개정 2023. 4. 18.>  
1. 건설기계의 정기적인 점검 및 정비를 실시할 것  
2. 건설기계의 운전자는 안전교육을 이수할 것  
3. 건설기계의 사용 중 안전사고를 예방하기 위한 조치를 취할 것  

위의 법령들은 건설 현장에서 지켜야 할 안전수칙에 대한 기본적인 내용을 포함하고 있습니다. 사업주는 근로자의 안전과 건강을 보장하기 위해 필요한 조치를 취해야 하며, 건설기계의 소유자는 기계의 안전관리를 철저히 해야 합니다."
